date,ten_yr,three_mo
2012-03-13,16.0,37.65
2012-03-14,16.0,38.0
2012-03-15,15.99,38.22
2012-03-16,15.8,37.34
2012-03-19,15.73,36.91
2012-03-20,15.58,36.79
2012-03-21,15.64,36.95
2012-03-22,15.72,37.02
2012-03-23,16.75,36.71
2012-03-26,16.23,36.61
2012-03-27,16.56,37.09
2012-03-28,17.43,38.13
2012-03-29,19.46,39.09
2012-03-30,19.88,39.85
2012-04-02,19.78,40.75
2012-04-03,20.08,41.24
2012-04-04,20.54,42.19
2012-04-05,20.78,42.96
2012-04-06,20.77,44.31
2012-04-09,21.04,45.13
2012-04-10,21.59,45.54
2012-04-11,21.37,46.59
2012-04-12,22.57,46.95
2012-04-13,22.52,47.02
2012-04-16,22.45,46.27
2012-04-17,20.73,45.53
2012-04-18,20.13,44.86
2012-04-19,20.24,43.94
2012-04-20,19.73,43.18
2012-04-23,18.27,42.93
2012-04-24,17.75,42.66
2012-04-25,17.72,41.65
2012-04-26,17.68,40.91
2012-04-27,17.9,40.59
2012-04-30,18.44,39.69
2012-05-01,18.96,39.55
2012-05-02,19.39,39.15
2012-05-03,19.76,39.19
2012-05-04,20.09,39.29
2012-05-07,20.43,39.38
2012-05-08,20.96,39.62
2012-05-09,20.97,39.93
2012-05-10,22.63,40.63
2012-05-11,23.32,40.94
2012-05-14,24.93,41.3
2012-05-15,26.49,42.12
2012-05-16,27.44,42.85
2012-05-17,28.54,43.67
2012-05-18,29.02,44.33
2012-05-21,30.29,45.41
2012-05-22,32.32,46.4
2012-05-23,33.86,47.37
2012-05-24,35.44,48.61
2012-05-25,36.03,49.47
2012-05-28,37.06,50.19
2012-05-29,37.02,50.34
2012-05-30,37.89,50.87
2012-05-31,37.56,51.44
2012-06-01,37.81,51.55
2012-06-04,37.71,51.78
2012-06-05,38.08,52.09
2012-06-06,38.25,52.39
2012-06-07,37.88,52.66
2012-06-08,36.88,52.46
2012-06-11,35.76,52.18
2012-06-12,34.79,51.66
2012-06-13,34.85,51.42
2012-06-14,34.98,51.33
2012-06-15,35.72,51.26
2012-06-18,35.35,51.08
2012-06-19,35.41,51.02
2012-06-20,34.68,50.95
2012-06-21,34.04,50.85
2012-06-22,32.47,50.51
2012-06-25,31.41,50.25
2012-06-26,31.1,49.97
2012-06-27,30.86,49.9
2012-06-28,31.26,49.91
2012-06-29,31.25,49.81
2012-07-02,30.93,49.59
2012-07-03,30.57,49.36
2012-07-04,30.13,49.14
2012-07-05,29.55,48.93
2012-07-06,28.6,48.5
2012-07-09,27.62,48.0
2012-07-10,27.21,47.58
2012-07-11,26.75,47.3
2012-07-12,26.81,46.95
2012-07-13,25.87,46.7
2012-07-16,25.38,46.52
2012-07-17,24.96,46.2
2012-07-18,24.67,45.69
2012-07-19,23.97,45.17
2012-07-20,24.07,44.45
2012-07-23,23.93,43.87
2012-07-24,23.55,43.31
2012-07-25,23.88,43.06
2012-07-26,24.38,43.01
2012-07-27,24.84,42.67
2012-07-30,25.71,42.24
2012-07-31,26.21,42.04
2012-08-01,26.79,41.6
2012-08-02,27.17,41.34
2012-08-03,27.14,41.18
2012-08-06,27.11,41.09
2012-08-07,26.98,41.35
2012-08-08,26.84,41.79
2012-08-09,26.87,42.09
2012-08-10,27.44,42.31
2012-08-13,27.65,42.07
2012-08-14,27.71,41.65
2012-08-15,27.64,41.49
2012-08-16,27.13,41.36
2012-08-17,27.0,40.89
2012-08-20,27.0,40.54
2012-08-21,26.76,40.15
2012-08-22,26.81,39.86
2012-08-23,27.12,39.71
2012-08-24,28.17,39.13
2012-08-27,28.81,38.42
2012-08-28,29.48,37.76
2012-08-29,30.04,36.86
2012-08-30,30.4,36.81
2012-08-31,30.83,36.9
2012-09-03,31.44,36.23
2012-09-04,32.32,35.49
2012-09-05,32.94,34.9
2012-09-06,33.14,34.08
2012-09-07,33.64,33.25
2012-09-10,34.11,32.41
2012-09-11,34.47,31.44
2012-09-12,34.34,30.82
2012-09-13,34.31,30.32
2012-09-14,34.28,29.83
2012-09-17,34.25,29.71
2012-09-18,34.18,29.78
2012-09-19,34.25,29.51
2012-09-20,34.15,30.35
2012-09-21,34.31,31.02
2012-09-24,34.25,31.46
2012-09-25,34.4,32.24
2012-09-26,34.03,32.8
2012-09-27,33.53,33.35
2012-09-28,33.02,34.04
2012-10-01,32.73,34.58
2012-10-02,32.49,35.14
2012-10-03,32.28,35.69
2012-10-04,32.21,36.06
2012-10-05,31.97,35.49
2012-10-08,31.35,35.13
2012-10-09,30.62,34.58
2012-10-10,29.9,34.08
2012-10-11,29.59,33.96
2012-10-12,29.43,33.67
2012-10-15,29.45,33.53
2012-10-16,29.15,33.32
2012-10-17,28.93,33.04
2012-10-18,28.62,32.7
2012-10-19,28.16,32.37
2012-10-22,27.61,32.13
2012-10-23,27.01,32.12
2012-10-24,26.38,32.24
2012-10-25,25.88,32.46
2012-10-26,25.84,32.44
2012-10-29,25.06,32.55
2012-10-30,24.58,32.57
2012-10-31,24.34,32.92
2012-11-01,24.19,33.07
2012-11-02,24.26,33.18
2012-11-05,24.49,33.31
2012-11-06,24.86,33.58
2012-11-07,25.27,34.09
2012-11-08,25.88,34.69
2012-11-09,26.46,35.01
2012-11-12,27.14,35.33
2012-11-13,27.93,35.69
2012-11-14,28.55,36.29
2012-11-15,29.29,36.96
2012-11-16,29.87,37.39
2012-11-19,30.12,37.54
2012-11-20,30.51,37.88
2012-11-21,30.58,38.01
2012-11-22,30.84,38.04
2012-11-23,30.73,37.94
2012-11-26,31.07,37.72
2012-11-27,31.26,37.28
2012-11-28,31.16,37.16
2012-11-29,31.43,36.83
2012-11-30,31.38,36.6
2012-12-03,31.81,36.22
2012-12-04,32.39,35.78
2012-12-05,32.56,35.5
2012-12-06,33.01,35.26
2012-12-07,32.92,35.1
2012-12-10,33.14,35.18
2012-12-11,33.2,35.51
2012-12-12,33.49,35.56
2012-12-13,33.5,35.83
2012-12-14,32.74,36.16
2012-12-17,32.27,36.35
2012-12-18,31.77,36.51
2012-12-19,32.03,35.83
2012-12-20,31.75,36.03
