date,germany_10y,germany_30y,japan_10y,japan_30y,uk_10y,uk_30y,us_10y,us_30y
1982-05-13,,,,,,,13.622,
1982-05-14,,,,,,,13.482,
1982-05-17,,,,,,,13.572,
1982-05-18,,,,,,,13.602,
1982-05-19,,,,,,,13.642,
1982-05-20,,,,,,,13.532,
1982-05-21,,,,,,,13.522,
1982-05-24,,,,,,,13.582,
1982-05-25,,,,,,,13.622,
1982-05-26,,,,,,,13.682,
1982-05-27,,,,,,,13.722,
1982-05-28,,,,,,,13.712,
1982-06-01,,,,,,,13.932,
1982-06-02,,,,,,,13.862,
1982-06-03,,,,,,,13.902,
1982-06-04,,,,,,,13.982,
1982-06-07,,,,,,,13.942,
1982-06-08,,,,,,,13.982,
1982-06-09,,,,,,,13.992,
1982-06-10,,,,,,,14.022,
1982-06-11,,,,,,,13.932,
1982-06-14,,,,,,,14.212,
1982-06-15,,,,,,,14.212,
1982-06-16,,,,,,,14.262,
1982-06-17,,,,,,,14.482,
1982-06-18,,,,,,,14.622,
1982-06-21,,,,,,,14.632,
1982-06-22,,,,,,,14.662,
1982-06-23,,,,,,,14.742,
1982-06-24,,,,,,,14.712,
1982-06-25,,,,,,,14.762,
1982-06-28,,,,,,,14.732,
1982-06-29,,,,,,,14.612,
1982-06-30,,,,,,,14.442,
1982-07-01,,,,,,,14.402,
1982-07-02,,,,,,,14.502,
1982-07-06,,,,,,,14.482,
1982-07-07,,,,,,,14.492,
1982-07-08,,,,,,,14.192,
1982-07-09,,,,,,,14.032,
1982-07-12,,,,,,,13.872,
1982-07-13,,,,,,,14.022,
1982-07-14,,,,,,,14.102,
1982-07-15,,,,,,,13.962,
1982-07-16,,,,,,,13.702,
1982-07-19,,,,,,,13.682,
1982-07-20,,,,,,,13.532,
1982-07-21,,,,,,,13.602,
1982-07-22,,,,,,,13.512,
1982-07-23,,,,,,,13.562,
1982-07-26,,,,,,,13.912,
1982-07-27,,,,,,,13.862,
1982-07-28,,,,,,,13.972,
1982-07-29,,,,,,,13.832,
1982-07-30,,,,,,,13.682,
1982-08-02,,,,,,,13.412,
1982-08-03,,,,,,,13.512,
1982-08-04,,,,,,,13.682,
1982-08-05,,,,,,,13.702,
1982-08-06,,,,,,,13.852,
1982-08-09,,,,,,,13.702,
1982-08-10,,,,,,,13.692,
1982-08-11,,,,,,,13.712,
1982-08-12,,,,,,,13.552,
1982-08-13,,,,,,,13.202,
1982-08-16,,,,,,,13.092,
1982-08-17,,,,,,,12.652,
1982-08-18,,,,,,,12.572,
1982-08-19,,,,,,,12.472,
1982-08-20,,,,,,,12.242,
1982-08-23,,,,,,,12.472,
1982-08-24,,,,,,,12.352,
1982-08-25,,,,,,,12.432,
1982-08-26,,,,,,,12.552,
1982-08-27,,,,,,,12.772,
1982-08-30,,,,,,,12.812,
1982-08-31,,,,,,,12.812,
1982-09-01,,,,,,,12.762,
1982-09-02,,,,,,,12.602,
1982-09-03,,,,,,,12.472,
1982-09-07,,,,,,,12.532,
1982-09-08,,,,,,,12.512,
1982-09-09,,,,,,,12.532,
1982-09-10,,,,,,,12.732,
1982-09-13,,,,,,,12.632,
1982-09-14,,,,,,,12.562,
1982-09-15,,,,,,,12.602,
1982-09-16,,,,,,,12.602,
1982-09-17,,,,,,,12.512,
1982-09-20,,,,,,,12.472,
1982-09-21,,,,,,,12.182,
1982-09-22,,,,,,,12.042,
1982-09-23,,,,,,,11.942,
1982-09-24,,,,,,,12.092,
1982-09-27,,,,,,,11.992,
1982-09-28,,,,,,,11.852,
1982-09-29,,,,,,,11.802,
1982-09-30,,,,,,,11.732,
1982-10-01,,,,,,,11.512,
1982-10-04,,,,,,,11.722,
1982-10-05,,,,,,,11.692,
1982-10-06,,,,,,,11.582,
1982-10-07,,,,,,,10.912,
1982-10-08,,,,,,,10.832,
1982-10-12,,,,,,,10.532,
1982-10-13,,,,,,,10.392,
1982-10-14,,,,,,,10.612,
1982-10-15,,,,,,,10.752,
1982-10-18,,,,,,,10.582,
1982-10-19,,,,,,,10.562,
1982-10-20,,,,,,,10.692,
1982-10-21,,,,,,,10.692,
1982-10-22,,,,,,,10.812,
1982-10-25,,,,,,,11.112,
1982-10-26,,,,,,,10.872,
1982-10-27,,,,,,,10.902,
1982-10-28,,,,,,,10.772,
1982-10-29,,,,,,,10.712,
1982-11-01,,,,,,,10.562,
1982-11-03,,,,,,,10.462,
1982-11-04,,,,,,,10.422,
1982-11-05,,,,,,,10.482,
1982-11-08,,,,,,,10.552,
1982-11-09,,,,,,,10.512,
1982-11-10,,,,,,,10.482,
1982-11-12,,,,,,,10.582,
1982-11-15,,,,,,,10.652,
1982-11-16,,,,,,,10.672,
1982-11-17,,,,,,,10.592,
1982-11-18,,,,,,,10.462,
1982-11-19,,,,,,,10.422,
1982-11-22,,,,,,,10.432,
1982-11-23,,,,,,,10.532,
1982-11-24,,,,,,,10.592,
1982-11-26,,,,,,,10.512,
1982-11-29,,,,,,,10.782,
1982-11-30,,,,,,,10.792,
1982-12-01,,,,,,,10.742,
1982-12-02,,,,,,,10.682,
1982-12-03,,,,,,,10.472,
1982-12-06,,,,,,,10.462,
1982-12-07,,,,,,,10.482,
1982-12-08,,,,,,,10.622,
1982-12-09,,,,,,,10.582,
1982-12-10,,,,,,,10.662,
1982-12-13,,,,,,,10.612,
